2020-04-27T19:55:12,192 TRACE [ForkJoinPool.commonPool-worker-3]: IClientService                       - getAllEntities - method entered
2020-04-27T19:55:12,439 TRACE [ForkJoinPool.commonPool-worker-3]: IClientService                       - getAllEntities - method finished
2020-04-27T19:55:44,205 TRACE [ForkJoinPool.commonPool-worker-3]: IClientService                       - addEntity - method entered: client=First Name: 'Mama', Last Name: 'Mia', Age: 67, ID: '147'
2020-04-27T19:55:44,230 TRACE [ForkJoinPool.commonPool-worker-3]: IClientService                       - addEntity - method finished
2020-04-27T20:23:31,920 TRACE [ForkJoinPool.commonPool-worker-3]: ClientService                        - getAllEntities - method entered 
2020-04-27T20:23:32,100 TRACE [ForkJoinPool.commonPool-worker-3]: ClientService                        - getAllEntities - method finished, list: [First Name: 'fad', Last Name: 'fad', Age: 30, ID: '12345', First Name: 'Andrei', Last Name: 'Alex', Age: 30, ID: '901', First Name: 'Alex', Last Name: 'Saba', Age: 30, ID: '11', First Name: 'asd', Last Name: 'asd', Age: 30, ID: '1000', First Name: 'Pop', Last Name: 'Popa', Age: 22, ID: '123', First Name: 'Cata', Last Name: 'Rete', Age: 20, ID: '3', First Name: 'Bogdan', Last Name: 'Craciun', Age: 41, ID: '1', First Name: 'Craciun', Last Name: 'Mos', Age: 98, ID: '5', First Name: 'Ionut', Last Name: 'Adrian', Age: 34, ID: '4', First Name: 'Marian', Last Name: 'Preda', Age: 42, ID: '6', First Name: 'Andrei', Last Name: 'Bratu', Age: 28, ID: '8', First Name: 'Mama', Last Name: 'Mia', Age: 67, ID: '147'] 
2020-04-27T20:23:43,911 TRACE [ForkJoinPool.commonPool-worker-3]: ClientService                        - getAllEntities - method entered 
2020-04-27T20:23:43,915 TRACE [ForkJoinPool.commonPool-worker-3]: ClientService                        - getAllEntities - method finished, list: [First Name: 'fad', Last Name: 'fad', Age: 30, ID: '12345', First Name: 'Andrei', Last Name: 'Alex', Age: 30, ID: '901', First Name: 'Alex', Last Name: 'Saba', Age: 30, ID: '11', First Name: 'asd', Last Name: 'asd', Age: 30, ID: '1000', First Name: 'Pop', Last Name: 'Popa', Age: 22, ID: '123', First Name: 'Cata', Last Name: 'Rete', Age: 20, ID: '3', First Name: 'Bogdan', Last Name: 'Craciun', Age: 41, ID: '1', First Name: 'Craciun', Last Name: 'Mos', Age: 98, ID: '5', First Name: 'Ionut', Last Name: 'Adrian', Age: 34, ID: '4', First Name: 'Marian', Last Name: 'Preda', Age: 42, ID: '6', First Name: 'Andrei', Last Name: 'Bratu', Age: 28, ID: '8', First Name: 'Mama', Last Name: 'Mia', Age: 67, ID: '147'] 
2020-04-27T20:23:43,918 TRACE [ForkJoinPool.commonPool-worker-3]: MovieService                         - getAllEntities - method entered 
2020-04-27T20:23:43,924 TRACE [ForkJoinPool.commonPool-worker-3]: MovieService                         - getAllEntities - method finished, list: [Title='1917', Year Of Release=2019, Main Star='Brad Pitt', Director='Quentin', Genre='Action', ID='1', Title='Pulp Fiction', Year Of Release=1998, Main Star='Samuel L. Jackson', Director='Quentin', Genre='Masterpiece', ID='2', Title='Madagascar', Year Of Release=2008, Main Star='Chris Tucker', Director='Jerry Seinfeld', Genre='Comedy', ID='3'] 
2020-04-27T20:23:43,938 TRACE [ForkJoinPool.commonPool-worker-3]: MovieService                         - FindOne - method entered:Movieid = 1 
